"oslo100.nedbor","stavanger100.nedbor"
0,0
0,0
0,0
0,0
3.1,5.5
39.6,22.6
16.1,1.2
0.6,1.3
3.5,8.1
3,6.7
0,0
2.6,0.1
0,0
0,0
0,0
0.7,3.1
4.7,36.2
7.5,5.8
0.5,10
4,9.2
0.2,12.4
6.7,2.6
0.1,1.5
28.8,8.7
8.9,1.1
4.1,3.7
7.1,1.4
8.2,5.9
10.4,0.2
0,0.1
0.2,4.5
0,0
7.5,30.7
1.5,6.4
0.1,2.3
0,0.9
0,0
0,0.1
0,0.3
0,0.4
0,0
0,6
0,0.5
0,0
0,0
0,0
0,0
3.8,0
0,0
3.4,0
2.4,0
9.7,0.4
1.8,0.2
0.2,0.4
0,0
15.2,0.3
2,1.1
19.2,7.1
12.8,0
0.6,0
12.7,0.3
6.6,0
1.1,0
0.4,0
2.2,4.6
9,8.2
3.3,7.4
5.9,0.1
0,1.1
0,0
0,5.9
0,4.4
5.3,5.7
0,2.5
4.4,32
1.6,3.3
1.7,20.2
4.1,12.2
0.7,0
6.1,36.4
0,9.5
7,4.5
1,0
1.2,11.4
2.9,10.8
0,10.7
0,5.3
0,3.9
5.3,2.5
0.2,2.1
3.9,2.1
0,0.9
4.4,4.4
1.9,3.1
0,0.9
0,0.2
0.6,0.1
4.7,11
0,7.3
0,12.1
0,0.5
